YearLabel,Site Names,TotalDuration(hrs) all spills prior to processing through 12-24h count method
2020,"15 Coldharbour Lane, Bushey",0.00
2020,ABBESS RODING WWTW,2062.64
2020,"ABBEY MILLS PUMPING STATION, STRATF",23.38
2020,ABINGDON SEWAGE TREATMENT WORKS,1955.45
2020,Acton P/S and storm,38.83
2020,ALDERMASTON WWTW,1157.19
2020,ALDERSHOT STW,112.67
2020,Allendale Road,0.00
2020,AMPNEY ST PETER WWTW,2316.11
2020,"Anyand Park Road, Twickenham",0.00
2020,APPLETON (NEW) WWTW,2301.68
2020,ARBORFIELD WWTW,187.87
2020,ARFORD PUMPING STATION,8.35
2020,ASCOT WWTW,4.27
2020,Ash Vale,213.74
2020,ASTON LE WALLS WWTW,45.56
2020,AUCKLAND ROAD PUMPING STATION TANKS,372.71
2020,AVON DASSETT WWTW,148.31
2020,Avondale Road,8.03
2021,"15 Coldharbour Lane, Bushey",0.00
2021,ABBESS RODING WWTW,754.15
2021,"ABBEY MILLS PUMPING STATION, STRATF",0.00
2021,ABINGDON SEWAGE TREATMENT WORKS,380.95
2021,Acton P/S and storm,215.95
2021,ALDERMASTON WWTW,577.27
2021,ALDERSHOT STW,186.57
2021,Allendale Road,0.00
2021,Amersham Balancing Tanks,0.00
2021,AMPNEY ST PETER WWTW,1168.53
2021,ANDOVERSFORD STW,1333.78
2021,"Anyand Park Road, Twickenham",0.00
2021,APPLETON (NEW) WWTW,1269.73
2021,ARBORFIELD WWTW,89.70
2021,ARFORD PUMPING STATION,6.10
2021,ASCOT WWTW,170.06
2021,Ash Vale,78.14
2021,ASTON LE WALLS WWTW,541.60
2021,AUCKLAND ROAD PUMPING STATION TANKS,207.39
2021,AVON DASSETT WWTW,56.91
2021,Avondale Road,4.58
2022,"15 Coldharbour Lane, Bushey",0.00
2022,ABBESS RODING WWTW,847.66
2022,"ABBEY MILLS PUMPING STATION, STRATF",0.00
2022,ABINGDON SEWAGE TREATMENT WORKS,0.00
2022,Acton P/S and storm,132.10
2022,ALDERMASTON WWTW,21.42
2022,ALDERSHOT STW,81.73
2022,Allendale Road,0.00
2022,AMPNEY ST PETER WWTW,944.72
2022,ANDOVERSFORD STW,801.12
2022,"Anyand Park Road, Twickenham",0.00
2022,APPLETON (NEW) WWTW,73.39
2022,ARFORD PUMPING STATION,78.01
2022,ASCOT WWTW,0.93
2022,Ash Vale,32.79
2022,ASTON LE WALLS WWTW,10.78
2022,AUCKLAND ROAD PUMPING STATION TANKS,24.90
2022,AVON DASSETT WWTW,48.36
2022,Avondale Road,80.24
2023,"15 Coldharbour Lane, Bushey",0.00
2023,ABBESS RODING WWTW,1200.25
2023,ABINGDON SEWAGE TREATMENT WORKS,353.50
2023,Acton P/S and storm,129.50
2023,ALDERMASTON WWTW,341.75
2023,ALDERSHOT STW,70.75
2023,Allendale Road,0.00
2023,Amersham Balancing Tanks,9.50
2023,AMPNEY ST PETER WWTW,2759.50
2023,ANDOVERSFORD STW,2092.00
2023,"Anyand Park Road, Twickenham",0.00
2023,ARBORFIELD WWTW,358.25
2023,ARFORD PUMPING STATION,0.50
2023,ASCOT WWTW,143.75
2023,Ash Vale,137.25
2023,ASTON LE WALLS WWTW,6.00
2023,AUCKLAND ROAD PUMPING STATION TANKS,26.43
2023,AVON DASSETT WWTW,188.00
2023,Avondale Road,0.00
2024,"15 Coldharbour Lane, Bushey",0.00
2024,ABBESS RODING WWTW,1594.45
2024,ABINGDON SEWAGE TREATMENT WORKS,1145.45
2024,ALDERMASTON WWTW,418.15
2024,ALDERSHOT STW,76.00
2024,Allendale Road,0.00
2024,Amersham Balancing Tanks,4842.45
2024,AMPNEY ST PETER WWTW,3103.00
2024,ANDOVERSFORD STW,2476.15
2024,"Anyand Park Road, Twickenham",0.00
2024,ARBORFIELD WWTW,522.15
2024,ARFORD PUMPING STATION,0.45
2024,ASCOT WWTW,198.15
2024,Ash Vale,208.30
2024,ASTON LE WALLS WWTW,39.30
2024,AUCKLAND ROAD PUMPING STATION TANKS,72.40
2024,AVON DASSETT WWTW,342.45
2024,Avondale Road,0.00